word,count_0,weight_0,count_1,weight_1,count_2,weight_2,count_3,weight_3,total,total-weight
fault,0,"",1,0.048,1,0.071,1,0.091,3,""
files.,1,0.048,1,0.048,0,"",1,0.091,3,""
made,3,0.145,0,"",0,"",0,"",3,""
review,0,"",1,0.048,2,0.142,0,"",3,""
dataflow,0,"",0,"",3,0.213,0,"",3,""
authentication,2,0.097,0,"",1,0.071,0,"",3,""
storing,2,0.097,1,0.048,0,"",0,"",3,""
utilized,0,"",1,0.048,2,0.142,0,"",3,""
analyzed,0,"",3,0.146,0,"",0,"",3,""
join,1,0.048,0,"",2,0.142,0,"",3,""
ambari.,0,"",2,0.097,0,"",1,0.091,3,""
including,2,0.097,0,"",0,"",1,0.091,3,""
sparksqlstreaming,1,0.048,0,"",2,0.142,0,"",3,""
transformed,2,0.097,1,0.048,0,"",0,"",3,""
gzip,2,0.097,1,0.048,0,"",0,"",3,""
log4j,0,"",3,0.146,0,"",0,"",3,""
vmware,2,0.097,0,"",1,0.071,0,"",3,""
tasks,0,"",2,0.097,1,0.071,0,"",3,""
york,1,0.048,0,"",1,0.071,1,0.091,3,""
lucene,0,"",2,0.097,1,0.071,0,"",3,""
schema.,1,0.048,0,"",0,"",2,0.182,3,""
changes,2,0.097,0,"",0,"",1,0.091,3,""
providers,0,"",0,"",3,0.213,0,"",3,""
functionality,0,"",2,0.097,0,"",1,0.091,3,""
dec,2,0.097,1,0.048,0,"",0,"",3,""
reports.,1,0.048,2,0.097,0,"",0,"",3,""
git,0,"",0,"",0,"",3,0.274,3,""
continuous,1,0.048,1,0.048,0,"",1,0.091,3,""
hdp,0,"",1,0.048,1,0.071,1,0.091,3,""
monitored,1,0.048,1,0.048,0,"",1,0.091,3,""
modern,0,"",0,"",3,0.213,0,"",3,""
aggregation.,1,0.048,1,0.048,1,0.071,0,"",3,""
scheduler,2,0.097,0,"",0,"",1,0.091,3,""
extracted,1,0.048,2,0.097,0,"",0,"",3,""
optimizing,0,"",0,"",1,0.071,2,0.182,3,""
society,1,0.048,0,"",2,0.142,0,"",3,""
coordinating,2,0.097,0,"",0,"",1,0.091,3,""
incremental,1,0.048,1,0.048,0,"",1,0.091,3,""
mexico,1,0.048,2,0.097,0,"",0,"",3,""
integrating,1,0.048,1,0.048,1,0.071,0,"",3,""
directly,0,"",1,0.048,1,0.071,1,0.091,3,""
jan,2,0.097,1,0.048,0,"",0,"",3,""
decision,0,"",0,"",1,0.071,2,0.182,3,""
models,0,"",3,0.146,0,"",0,"",3,""
replication,3,0.145,0,"",0,"",0,"",3,""
manage,0,"",2,0.097,0,"",1,0.091,3,""
repository,3,0.145,0,"",0,"",0,"",3,""
successfully,1,0.048,0,"",2,0.142,0,"",3,""
installation,1,0.048,0,"",1,0.071,1,0.091,3,""
environments,0,"",2,0.097,0,"",1,0.091,3,""
migration,1,0.048,1,0.048,1,0.071,0,"",3,""
online,1,0.048,1,0.048,0,"",0,"",2,""
travel,2,0.097,0,"",0,"",0,"",2,""
import,2,0.097,0,"",0,"",0,"",2,""
sigma,0,"",2,0.097,0,"",0,"",2,""
ct,0,"",0,"",2,0.142,0,"",2,""
periodic,0,"",0,"",2,0.142,0,"",2,""
day,0,"",0,"",0,"",2,0.182,2,""
eclipse.,0,"",2,0.097,0,"",0,"",2,""
falcon,2,0.097,0,"",0,"",0,"",2,""
groups,1,0.048,0,"",0,"",1,0.091,2,""
transferred,2,0.097,0,"",0,"",0,"",2,""
adhoc,2,0.097,0,"",0,"",0,"",2,""
highly,0,"",0,"",1,0.071,1,0.091,2,""
critical,0,"",0,"",1,0.071,1,0.091,2,""
advertising,0,"",0,"",2,0.142,0,"",2,""
running.,1,0.048,1,0.048,0,"",0,"",2,""
aggregations,1,0.048,1,0.048,0,"",0,"",2,""
email:,0,"",1,0.048,0,"",1,0.091,2,""
fetching,1,0.048,0,"",1,0.071,0,"",2,""
rich,0,"",1,0.048,1,0.071,0,"",2,""
neural,0,"",1,0.048,1,0.071,0,"",2,""
verisign,0,"",2,0.097,0,"",0,"",2,""
office,0,"",2,0.097,0,"",0,"",2,""
junit,0,"",2,0.097,0,"",0,"",2,""
hivesql,1,0.048,1,0.048,0,"",0,"",2,""
modified,0,"",2,0.097,0,"",0,"",2,""
persistence,0,"",2,0.097,0,"",0,"",2,""
bigquery,0,"",0,"",2,0.142,0,"",2,""
presto,1,0.048,1,0.048,0,"",0,"",2,""
templates,0,"",0,"",0,"",2,0.182,2,""
bootstrap,0,"",0,"",2,0.142,0,"",2,""
applied,1,0.048,0,"",0,"",1,0.091,2,""
db2,1,0.048,1,0.048,0,"",0,"",2,""
document,0,"",1,0.048,1,0.071,0,"",2,""
migrations,0,"",0,"",2,0.142,0,"",2,""
producer,1,0.048,0,"",0,"",1,0.091,2,""
form,0,"",1,0.048,1,0.071,0,"",2,""
capable,1,0.048,0,"",0,"",1,0.091,2,""
collecting,1,0.048,1,0.048,0,"",0,"",2,""
container,0,"",0,"",2,0.142,0,"",2,""
dynamo,1,0.048,0,"",1,0.071,0,"",2,""
powershell,1,0.048,0,"",0,"",1,0.091,2,""
access,1,0.048,1,0.048,0,"",0,"",2,""
queue,1,0.048,1,0.048,0,"",0,"",2,""
apis.,2,0.097,0,"",0,"",0,"",2,""
variety,2,0.097,0,"",0,"",0,"",2,""
customize,1,0.048,1,0.048,0,"",0,"",2,""
2014,1,0.048,1,0.048,0,"",0,"",2,""
amity,0,"",0,"",2,0.142,0,"",2,""
generate,1,0.048,0,"",1,0.071,0,"",2,""
2013,1,0.048,1,0.048,0,"",0,"",2,""
server.,1,0.048,1,0.048,0,"",0,"",2,""
add,0,"",1,0.048,0,"",1,0.091,2,""
cicd,0,"",0,"",0,"",2,0.182,2,""
generic,2,0.097,0,"",0,"",0,"",2,""
pycharm,0,"",1,0.048,0,"",1,0.091,2,""
required,0,"",1,0.048,0,"",1,0.091,2,""
visual,0,"",0,"",1,0.071,1,0.091,2,""
expert,1,0.048,0,"",0,"",1,0.091,2,""
[pic][pic][pic][pic][pic],0,"",2,0.097,0,"",0,"",2,""
coding,0,"",2,0.097,0,"",0,"",2,""
logs.,1,0.048,1,0.048,0,"",0,"",2,""
platform.,0,"",0,"",0,"",2,0.182,2,""
apply,1,0.048,0,"",1,0.071,0,"",2,""
configure,0,"",0,"",0,"",2,0.182,2,""
gas,0,"",0,"",2,0.142,0,"",2,""
performant,1,0.048,0,"",1,0.071,0,"",2,""
privileges,2,0.097,0,"",0,"",0,"",2,""
bring,1,0.048,0,"",0,"",1,0.091,2,""
level.,0,"",1,0.048,0,"",1,0.091,2,""
paybook,2,0.097,0,"",0,"",0,"",2,""
aggregate,0,"",1,0.048,1,0.071,0,"",2,""
india,0,"",0,"",2,0.142,0,"",2,""
slomin's,0,"",0,"",2,0.142,0,"",2,""
mapr,0,"",1,0.048,1,0.071,0,"",2,""
guide,1,0.048,1,0.048,0,"",0,"",2,""
parse,0,"",2,0.097,0,"",0,"",2,""
administration.,2,0.097,0,"",0,"",0,"",2,""
procedures.,0,"",2,0.097,0,"",0,"",2,""
logging,0,"",2,0.097,0,"",0,"",2,""
determine,1,0.048,1,0.048,0,"",0,"",2,""
infrastructure,0,"",0,"",1,0.071,1,0.091,2,""
library,0,"",2,0.097,0,"",0,"",2,""
mobile,0,"",1,0.048,1,0.071,0,"",2,""
1.6,0,"",2,0.097,0,"",0,"",2,""
indexes,2,0.097,0,"",0,"",0,"",2,""
ovation,2,0.097,0,"",0,"",0,"",2,""
transfers,1,0.048,1,0.048,0,"",0,"",2,""
according,0,"",1,0.048,0,"",1,0.091,2,""
major,0,"",1,0.048,1,0.071,0,"",2,""
read,1,0.048,1,0.048,0,"",0,"",2,""
american,0,"",0,"",2,0.142,0,"",2,""
group,1,0.048,0,"",0,"",1,0.091,2,""
html,1,0.048,1,0.048,0,"",0,"",2,""
machine,1,0.048,0,"",1,0.071,0,"",2,""
planning.,0,"",1,0.048,0,"",1,0.091,2,""
system.,0,"",0,"",0,"",2,0.182,2,""
united,0,"",0,"",2,0.142,0,"",2,""
endtoend,0,"",0,"",0,"",2,0.182,2,""
future,1,0.048,0,"",1,0.071,0,"",2,""
partitioned,1,0.048,1,0.048,0,"",0,"",2,""
2002,0,"",0,"",0,"",2,0.182,2,""
filesday,2,0.097,0,"",0,"",0,"",2,""
2018,1,0.048,0,"",0,"",1,0.091,2,""
configuring,0,"",1,0.048,0,"",1,0.091,2,""
999,0,"",0,"",0,"",2,0.182,2,""
gpa:,0,"",0,"",2,0.142,0,"",2,""
intellij,0,"",1,0.048,0,"",1,0.091,2,""
optimal,1,0.048,1,0.048,0,"",0,"",2,""
efficient,1,0.048,1,0.048,0,"",0,"",2,""
services.,1,0.048,0,"",0,"",1,0.091,2,""
tolerant,0,"",0,"",1,0.071,1,0.091,2,""
architected,0,"",0,"",2,0.142,0,"",2,""
prototype,1,0.048,0,"",1,0.071,0,"",2,""
central,2,0.097,0,"",0,"",0,"",2,""
processed,0,"",1,0.048,0,"",1,0.091,2,""
compile,2,0.097,0,"",0,"",0,"",2,""
fast,0,"",1,0.048,0,"",1,0.091,2,""
insights,0,"",0,"",1,0.071,1,0.091,2,""
acquisitions,0,"",0,"",2,0.142,0,"",2,""
capabilities,0,"",1,0.048,0,"",1,0.091,2,""
focused,2,0.097,0,"",0,"",0,"",2,""
patches,0,"",0,"",0,"",2,0.182,2,""
pipeline.,1,0.048,0,"",1,0.071,0,"",2,""
types,1,0.048,0,"",1,0.071,0,"",2,""
needs,0,"",1,0.048,0,"",1,0.091,2,""
viacom,0,"",0,"",2,0.142,0,"",2,""
firehose,0,"",0,"",1,0.071,1,0.091,2,""
meetings.,0,"",0,"",2,0.142,0,"",2,""
nanotechnology,0,"",0,"",2,0.142,0,"",2,""
master,0,"",1,0.048,1,0.071,0,"",2,""
atom,1,0.048,0,"",0,"",1,0.091,2,""
exporting,1,0.048,1,0.048,0,"",0,"",2,""
orchestrating,1,0.048,0,"",0,"",1,0.091,2,""
jms,0,"",2,0.097,0,"",0,"",2,""
ci,0,"",0,"",0,"",2,0.182,2,""
clientside,0,"",1,0.048,1,0.071,0,"",2,""
entity,1,0.048,0,"",1,0.071,0,"",2,""
general,0,"",1,0.048,0,"",1,0.091,2,""
testdriven,0,"",1,0.048,0,"",1,0.091,2,""
updates,0,"",1,0.048,0,"",1,0.091,2,""
consumer,1,0.048,0,"",1,0.071,0,"",2,""
facilitated,0,"",0,"",2,0.142,0,"",2,""
restful,0,"",1,0.048,1,0.071,0,"",2,""
active,1,0.048,0,"",0,"",1,0.091,2,""
automation,1,0.048,0,"",1,0.071,0,"",2,""
client's,0,"",1,0.048,0,"",1,0.091,2,""
objectoriented,0,"",2,0.097,0,"",0,"",2,""
enable,0,"",1,0.048,0,"",1,0.091,2,""
stable,0,"",1,0.048,0,"",1,0.091,2,""
parallel,0,"",0,"",2,0.142,0,"",2,""
css,0,"",1,0.048,1,0.071,0,"",2,""
move,1,0.048,0,"",0,"",1,0.091,2,""
prepare,0,"",2,0.097,0,"",0,"",2,""
vicenteayala1888@gmail.com,0,"",2,0.097,0,"",0,"",2,""
end,1,0.048,0,"",1,0.071,0,"",2,""
jdk,0,"",2,0.097,0,"",0,"",2,""
operations.,1,0.048,1,0.048,0,"",0,"",2,""
sep,1,0.048,1,0.048,0,"",0,"",2,""
cdc,2,0.097,0,"",0,"",0,"",2,""
train,0,"",2,0.097,0,"",0,"",2,""
aggregation,0,"",1,0.048,1,0.071,0,"",2,""
documentation.,0,"",1,0.048,1,0.071,0,"",2,""
migrate,1,0.048,1,0.048,0,"",0,"",2,""
proper,0,"",1,0.048,0,"",1,0.091,2,""
2004,0,"",0,"",0,"",2,0.182,2,""
strategy,0,"",1,0.048,1,0.071,0,"",2,""
iam,0,"",0,"",0,"",2,0.182,2,""
request,0,"",2,0.097,0,"",0,"",2,""
sharepoint,1,0.048,1,0.048,0,"",0,"",2,""
shared,0,"",1,0.048,1,0.071,0,"",2,""
app,1,0.048,1,0.048,0,"",0,"",2,""
upgrading,1,0.048,1,0.048,0,"",0,"",2,""
internal,0,"",1,0.048,1,0.071,0,"",2,""
predictix,2,0.097,0,"",0,"",0,"",2,""
daily.,0,"",0,"",1,0.071,1,0.091,2,""
architectures,1,0.048,0,"",1,0.071,0,"",2,""
querying.,0,"",1,0.048,1,0.071,0,"",2,""
va,0,"",1,0.048,0,"",1,0.091,2,""
parallelism,1,0.048,0,"",0,"",1,0.091,2,""
logic,1,0.048,1,0.048,0,"",0,"",2,""
utilization,1,0.048,0,"",0,"",1,0.091,2,""
arangodb,0,"",0,"",2,0.142,0,"",2,""
index,2,0.097,0,"",0,"",0,"",2,""
strategic,1,0.048,1,0.048,0,"",0,"",2,""
vicente,0,"",2,0.097,0,"",0,"",2,""
across,0,"",1,0.048,0,"",1,0.091,2,""
github,0,"",1,0.048,0,"",1,0.091,2,""
jars,0,"",2,0.097,0,"",0,"",2,""
architect,0,"",0,"",2,0.142,0,"",2,""
sparksql,0,"",1,0.048,1,0.071,0,"",2,""
uses,0,"",0,"",1,0.071,1,0.091,2,""
development.,1,0.048,0,"",0,"",1,0.091,2,""
modeling,1,0.048,1,0.048,0,"",0,"",2,""
consulting,1,0.048,1,0.048,0,"",0,"",2,""
developers,2,0.097,0,"",0,"",0,"",2,""
hue,0,"",2,0.097,0,"",0,"",2,""
c++,0,"",1,0.048,1,0.071,0,"",2,""
correct,2,0.097,0,"",0,"",0,"",2,""
internet,0,"",0,"",2,0.142,0,"",2,""
teams,0,"",1,0.048,0,"",1,0.091,2,""
flat,1,0.048,1,0.048,0,"",0,"",2,""
[pic][pic],0,"",2,0.097,0,"",0,"",2,""
computing,0,"",0,"",1,0.071,1,0.091,2,""
profile,1,0.048,1,0.048,0,"",0,"",2,""
snappy,0,"",2,0.097,0,"",0,"",2,""
transforming,0,"",0,"",1,0.071,1,0.091,2,""
excellent,1,0.048,1,0.048,0,"",0,"",2,""
mllib,0,"",1,0.048,1,0.071,0,"",2,""
utilize,0,"",1,0.048,0,"",1,0.091,2,""
algorithms,1,0.048,0,"",1,0.071,0,"",2,""
containing,1,0.048,1,0.048,0,"",0,"",2,""
importexport,0,"",0,"",0,"",2,0.182,2,""
[pic][pic][pic],0,"",2,0.097,0,"",0,"",2,""
control.,1,0.048,0,"",0,"",1,0.091,2,""
largescale,1,0.048,0,"",0,"",1,0.091,2,""
solutions.,0,"",2,0.097,0,"",0,"",2,""
udf,0,"",1,0.048,0,"",1,0.091,2,""
work,2,0.097,0,"",0,"",0,"",2,""
ranger.,1,0.048,0,"",0,"",1,0.091,2,""
searching,0,"",1,0.048,1,0.071,0,"",2,""
analytics.,0,"",1,0.048,1,0.071,0,"",2,""
kettle,1,0.048,0,"",1,0.071,0,"",2,""
ejb,0,"",2,0.097,0,"",0,"",2,""
analyst,2,0.097,0,"",0,"",0,"",2,""
collections,2,0.097,0,"",0,"",0,"",2,""
streaming.,1,0.048,0,"",0,"",1,0.091,2,""
known,0,"",0,"",2,0.142,0,"",2,""
drill,1,0.048,1,0.048,0,"",0,"",2,""
here,1,0.048,0,"",0,"",1,0.091,2,""
consultant@gmail.com,0,"",0,"",0,"",2,0.182,2,""
centers,1,0.048,0,"",1,0.071,0,"",2,""
training,0,"",0,"",2,0.142,0,"",2,""
availability.,1,0.048,0,"",0,"",1,0.091,2,""
components,0,"",2,0.097,0,"",0,"",2,""
healthcare,1,0.048,1,0.048,0,"",0,"",2,""
jul,1,0.048,1,0.048,0,"",0,"",2,""
9999999,0,"",0,"",0,"",2,0.182,2,""
slomin’s,0,"",0,"",2,0.142,0,"",2,""
small,2,0.097,0,"",0,"",0,"",2,""
struts,0,"",2,0.097,0,"",0,"",2,""
update,0,"",1,0.048,0,"",1,0.091,2,""
sqs,1,0.048,0,"",1,0.071,0,"",2,""
birmingham,0,"",1,0.048,1,0.071,0,"",2,""
call,1,0.048,1,0.048,0,"",0,"",2,""
validation,0,"",1,0.048,1,0.071,0,"",2,""
help,1,0.048,0,"",1,0.071,0,"",2,""
investments,0,"",1,0.048,1,0.071,0,"",2,""
feed,0,"",1,0.048,1,0.071,0,"",2,""
hardware,1,0.048,1,0.048,0,"",0,"",2,""
notes,1,0.048,1,0.048,0,"",0,"",2,""
packages,0,"",2,0.097,0,"",0,"",2,""
weblogic,0,"",2,0.097,0,"",0,"",2,""
state,1,0.048,0,"",1,0.071,0,"",2,""
delete,0,"",1,0.048,0,"",1,0.091,2,""
hiveql,0,"",0,"",0,"",2,0.182,2,""
4703440250,0,"",2,0.097,0,"",0,"",2,""
frameworks,0,"",0,"",2,0.142,0,"",2,""
tde,2,0.097,0,"",0,"",0,"",2,""
features,1,0.048,1,0.048,0,"",0,"",2,""
users,1,0.048,0,"",0,"",1,0.091,2,""
basis,0,"",0,"",1,0.071,1,0.091,2,""
interface,0,"",2,0.097,0,"",0,"",2,""
reduced,1,0.048,0,"",1,0.071,0,"",2,""
assisted,0,"",0,"",2,0.142,0,"",2,""
change,1,0.048,1,0.048,0,"",0,"",2,""
way,2,0.097,0,"",0,"",0,"",2,""
css.,0,"",2,0.097,0,"",0,"",2,""
formatted,1,0.048,1,0.048,0,"",0,"",2,""
phone:,0,"",1,0.048,0,"",1,0.091,2,""
sas,0,"",2,0.097,0,"",0,"",2,""
dataframe,1,0.048,1,0.048,0,"",0,"",2,""
deep,0,"",0,"",1,0.071,1,0.091,2,""
scd2,0,"",2,0.097,0,"",0,"",2,""
amounts,1,0.048,1,0.048,0,"",0,"",2,""
bachelor,0,"",0,"",1,0.071,1,0.091,2,""
largest,0,"",0,"",2,0.142,0,"",2,""
organization,1,0.048,0,"",0,"",1,0.091,2,""
mesos,0,"",1,0.048,1,0.071,0,"",2,""
analytical,1,0.048,1,0.048,0,"",0,"",2,""
blue,0,"",2,0.097,0,"",0,"",2,""
collected,1,0.048,1,0.048,0,"",0,"",2,""
industry.,0,"",2,0.097,0,"",0,"",2,""
topologies,1,0.048,1,0.048,0,"",0,"",2,""
tune,1,0.048,0,"",1,0.071,0,"",2,""
value,1,0.048,1,0.048,0,"",0,"",2,""
star,0,"",2,0.097,0,"",0,"",2,""
"",1,0.048,1,0.048,0,"",0,"",2,""
am,2,0.097,0,"",0,"",0,"",2,""
effective,2,0.097,0,"",0,"",0,"",2,""
encryption,1,0.048,0,"",1,0.071,0,"",2,""
logstash,1,0.048,0,"",1,0.071,0,"",2,""
stack,0,"",1,0.048,1,0.071,0,"",2,""
3.0,0,"",2,0.097,0,"",0,"",2,""
tuning.,1,0.048,0,"",0,"",1,0.091,2,""
architectengineer,0,"",2,0.097,0,"",0,"",2,""
bank,0,"",1,0.048,0,"",1,0.091,2,""
point,0,"",2,0.097,0,"",0,"",2,""
attributes,1,0.048,1,0.048,0,"",0,"",2,""
image,1,0.048,1,0.048,0,"",0,"",2,""
number,1,0.048,1,0.048,0,"",0,"",2,""
product,2,0.097,0,"",0,"",0,"",2,""
funneled,0,"",0,"",0,"",2,0.182,2,""
languages,0,"",1,0.048,1,0.071,0,"",2,""
visualizations,2,0.097,0,"",0,"",0,"",2,""
physics,0,"",0,"",2,0.142,0,"",2,""
querying,1,0.048,1,0.048,0,"",0,"",2,""
topics.,0,"",0,"",0,"",2,0.182,2,""
architecting,0,"",0,"",2,0.142,0,"",2,""
execute,0,"",0,"",1,0.071,1,0.091,2,""
native,1,0.048,0,"",1,0.071,0,"",2,""
aurora,0,"",0,"",2,0.142,0,"",2,""
extensive,2,0.097,0,"",0,"",0,"",2,""
latin,0,"",2,0.097,0,"",0,"",2,""
tableau.,1,0.048,1,0.048,0,"",0,"",2,""
techniques,1,0.048,0,"",0,"",1,0.091,2,""
workflows.,1,0.048,0,"",0,"",1,0.091,2,""
electric,0,"",0,"",2,0.142,0,"",2,""
elk,0,"",0,"",2,0.142,0,"",2,""
directory,1,0.048,0,"",0,"",1,0.091,2,""
hcatalog,0,"",1,0.048,1,0.071,0,"",2,""
exception,1,0.048,1,0.048,0,"",0,"",2,""
ran,1,0.048,0,"",0,"",1,0.091,2,""
making,0,"",0,"",1,0.071,1,0.091,2,""
huge,0,"",2,0.097,0,"",0,"",2,""
onboard,0,"",2,0.097,0,"",0,"",2,""
speed,0,"",0,"",1,0.071,1,0.091,2,""
indexes.,0,"",1,0.048,1,0.071,0,"",2,""
needs.,0,"",1,0.048,1,0.071,0,"",2,""
amplifier,0,"",0,"",1,0.071,0,"",1,""
connected,1,0.048,0,"",0,"",0,"",1,""
consumer.,0,"",0,"",0,"",1,0.091,1,""
format;,1,0.048,0,"",0,"",0,"",1,""
inverted,0,"",1,0.048,0,"",0,"",1,""
involving,0,"",0,"",1,0.071,0,"",1,""
selfstarter,0,"",1,0.048,0,"",0,"",1,""
tool.,0,"",1,0.048,0,"",0,"",1,""
asee,0,"",0,"",1,0.071,0,"",1,""
bigquery.,0,"",0,"",1,0.071,0,"",1,""
highest,1,0.048,0,"",0,"",0,"",1,""
json.,0,"",1,0.048,0,"",0,"",1,""
parts,0,"",1,0.048,0,"",0,"",1,""
positive,0,"",1,0.048,0,"",0,"",1,""
received,0,"",1,0.048,0,"",0,"",1,""
routing,0,"",1,0.048,0,"",0,"",1,""
stations,0,"",0,"",1,0.071,0,"",1,""
transformhdfsnas,1,0.048,0,"",0,"",0,"",1,""
cable,0,"",0,"",1,0.071,0,"",1,""
disaster,1,0.048,0,"",0,"",0,"",1,""
evaluation,1,0.048,0,"",0,"",0,"",1,""
lent,1,0.048,0,"",0,"",0,"",1,""
peertopeer,0,"",1,0.048,0,"",0,"",1,""
transfered,1,0.048,0,"",0,"",0,"",1,""
jar,1,0.048,0,"",0,"",0,"",1,""
kubernetes,0,"",0,"",1,0.071,0,"",1,""
mirroring,1,0.048,0,"",0,"",0,"",1,""
providence,0,"",1,0.048,0,"",0,"",1,""
drives,0,"",0,"",1,0.071,0,"",1,""
expression,1,0.048,0,"",0,"",0,"",1,""
pi,0,"",0,"",1,0.071,0,"",1,""
rdd.,1,0.048,0,"",0,"",0,"",1,""
documentation,0,"",0,"",1,0.071,0,"",1,""
intelligent,0,"",0,"",1,0.071,0,"",1,""
interacted,0,"",1,0.048,0,"",0,"",1,""
mrunit.,0,"",1,0.048,0,"",0,"",1,""
reston,0,"",1,0.048,0,"",0,"",1,""
delhi,0,"",0,"",1,0.071,0,"",1,""
engaged,0,"",0,"",1,0.071,0,"",1,""
stocks,0,"",1,0.048,0,"",0,"",1,""
tez,0,"",1,0.048,0,"",0,"",1,""
uploads,1,0.048,0,"",0,"",0,"",1,""
12c,0,"",1,0.048,0,"",0,"",1,""
alabama,0,"",1,0.048,0,"",0,"",1,""
coordinators.,1,0.048,0,"",0,"",0,"",1,""
generating,0,"",1,0.048,0,"",0,"",1,""
jaspersoft,1,0.048,0,"",0,"",0,"",1,""
repositories,0,"",0,"",1,0.071,0,"",1,""
space,1,0.048,0,"",0,"",0,"",1,""
tables;,0,"",1,0.048,0,"",0,"",1,""
athena,0,"",0,"",1,0.071,0,"",1,""
company.,0,"",1,0.048,0,"",0,"",1,""
constructed,0,"",0,"",0,"",1,0.091,1,""
devops,0,"",1,0.048,0,"",0,"",1,""
estudios,0,"",1,0.048,0,"",0,"",1,""
local,0,"",1,0.048,0,"",0,"",1,""
012012062012,0,"",0,"",1,0.071,0,"",1,""
administered,1,0.048,0,"",0,"",0,"",1,""
classes,0,"",1,0.048,0,"",0,"",1,""
holding,0,"",0,"",1,0.071,0,"",1,""
udt.,0,"",1,0.048,0,"",0,"",1,""
consistency.,0,"",1,0.048,0,"",0,"",1,""
grafana,0,"",0,"",1,0.071,0,"",1,""
optimization.,0,"",0,"",1,0.071,0,"",1,""
purpose,0,"",1,0.048,0,"",0,"",1,""
tfidf,0,"",1,0.048,0,"",0,"",1,""
act,0,"",0,"",1,0.071,0,"",1,""
capabilities.,0,"",0,"",1,0.071,0,"",1,""
continually,1,0.048,0,"",0,"",0,"",1,""
mexico.,1,0.048,0,"",0,"",0,"",1,""
phases,1,0.048,0,"",0,"",0,"",1,""
validate,0,"",1,0.048,0,"",0,"",1,""
compression,1,0.048,0,"",0,"",0,"",1,""
handles,1,0.048,0,"",0,"",0,"",1,""
helping,1,0.048,0,"",0,"",0,"",1,""
marketers,0,"",0,"",1,0.071,0,"",1,""
proc,0,"",0,"",1,0.071,0,"",1,""
records.,0,"",1,0.048,0,"",0,"",1,""
revionics,0,"",1,0.048,0,"",0,"",1,""
san,0,"",1,0.048,0,"",0,"",1,""
serves,0,"",0,"",1,0.071,0,"",1,""
xpack,0,"",1,0.048,0,"",0,"",1,""
mongodb.,1,0.048,0,"",0,"",0,"",1,""
publications,0,"",1,0.048,0,"",0,"",1,""
watch.,0,"",0,"",0,"",1,0.091,1,""
peer,0,"",1,0.048,0,"",0,"",1,""
agent,0,"",1,0.048,0,"",0,"",1,""
algorithm,0,"",1,0.048,0,"",0,"",1,""
estimation.,0,"",1,0.048,0,"",0,"",1,""
jha,0,"",0,"",1,0.071,0,"",1,""
sybase,0,"",1,0.048,0,"",0,"",1,""
time.,0,"",0,"",0,"",1,0.091,1,""
virtualpoc,1,0.048,0,"",0,"",0,"",1,""
copy,0,"",1,0.048,0,"",0,"",1,""
metrics.,1,0.048,0,"",0,"",0,"",1,""
starting,1,0.048,0,"",0,"",0,"",1,""
tx,1,0.048,0,"",0,"",0,"",1,""
upload,1,0.048,0,"",0,"",0,"",1,""
broadcast,0,"",1,0.048,0,"",0,"",1,""
couchdb,0,"",0,"",1,0.071,0,"",1,""
forecasting.,1,0.048,0,"",0,"",0,"",1,""
showing,1,0.048,0,"",0,"",0,"",1,""
chicago,0,"",0,"",0,"",1,0.091,1,""
deployment,0,"",1,0.048,0,"",0,"",1,""
documents,0,"",1,0.048,0,"",0,"",1,""
island,0,"",0,"",1,0.071,0,"",1,""
low,0,"",1,0.048,0,"",0,"",1,""
modules,1,0.048,0,"",0,"",0,"",1,""
30,0,"",1,0.048,0,"",0,"",1,""
cloudsqoop,1,0.048,0,"",0,"",0,"",1,""
blocks,1,0.048,0,"",0,"",0,"",1,""
conversion,1,0.048,0,"",0,"",0,"",1,""
evaluated,1,0.048,0,"",0,"",0,"",1,""
invoking,0,"",0,"",0,"",1,0.091,1,""
upstream,1,0.048,0,"",0,"",0,"",1,""
companies,1,0.048,0,"",0,"",0,"",1,""
jira,0,"",0,"",0,"",1,0.091,1,""
md5,0,"",1,0.048,0,"",0,"",1,""
sure,1,0.048,0,"",0,"",0,"",1,""
partner,0,"",0,"",1,0.071,0,"",1,""
websites.,1,0.048,0,"",0,"",0,"",1,""
airflowanalysis,1,0.048,0,"",0,"",0,"",1,""
consumption.,0,"",0,"",0,"",1,0.091,1,""
rdds.,1,0.048,0,"",0,"",0,"",1,""
threeway,1,0.048,0,"",0,"",0,"",1,""
visio,1,0.048,0,"",0,"",0,"",1,""
2008r2,1,0.048,0,"",0,"",0,"",1,""
alabama.,0,"",0,"",1,0.071,0,"",1,""
controller.,0,"",1,0.048,0,"",0,"",1,""
ec3,0,"",0,"",0,"",1,0.091,1,""
entitled,0,"",0,"",1,0.071,0,"",1,""
parameter,0,"",1,0.048,0,"",0,"",1,""
records,0,"",1,0.048,0,"",0,"",1,""
specs,0,"",0,"",1,0.071,0,"",1,""
120node,1,0.048,0,"",0,"",0,"",1,""
bucketed,0,"",1,0.048,0,"",0,"",1,""
completed,0,"",0,"",1,0.071,0,"",1,""
parameterize,0,"",1,0.048,0,"",0,"",1,""
program.,1,0.048,0,"",0,"",0,"",1,""
success,1,0.048,0,"",0,"",0,"",1,""
2017,1,0.048,0,"",0,"",0,"",1,""
context,1,0.048,0,"",0,"",0,"",1,""
ldap,0,"",0,"",0,"",1,0.091,1,""
ldap;,1,0.048,0,"",0,"",0,"",1,""
